nazione,anno,valore
AL,2018,4864.0
AL,2022,7233.0
AT,2006,37049.0
AT,2010,40514.0
AT,2014,44454.0
AT,2018,48549.0
AT,2022,54296.0
BA,2022,11395.0
BE,2006,38125.0
BE,2010,45280.0
BE,2014,47527.0
BE,2018,49160.0
BE,2022,54959.0
BG,2002,1862.0
BG,2006,2606.0
BG,2010,4686.0
BG,2014,5814.0
BG,2018,8256.0
BG,2022,12760.0
CH,2010,68488.0
CH,2014,75886.0
CH,2018,83413.0
CH,2022,102507.0
CY,2006,24486.0
CY,2010,27344.0
CY,2014,25670.0
CY,2018,26172.0
CY,2022,30411.0
CZ,2002,7174.0
CZ,2006,9781.0
CZ,2010,12696.0
CZ,2014,12542.0
CZ,2018,16784.0
CZ,2022,22414.0
DE,2006,39396.0
DE,2010,41495.0
DE,2014,45429.0
DE,2018,49953.0
DE,2022,55648.0
DK,2006,47637.0
DK,2010,56083.0
DK,2014,60495.0
DK,2018,64568.0
DK,2022,71798.0
EA18,2006,31697.0
EA18,2010,34841.0
EA18,2014,38337.0
EA19,2010,34513.0
EA19,2014,37967.0
EA19,2022,43902.0
EA20,2022,43544.0
EE,2006,8148.0
EE,2010,10585.0
EE,2014,13609.0
EE,2018,17094.0
EE,2022,22858.0
EL,2006,26933.0
EL,2010,26106.0
EL,2014,22957.0
EL,2018,22552.0
EL,2022,25558.0
ES,2002,21792.0
ES,2006,24262.0
ES,2010,27975.0
ES,2014,28933.0
ES,2018,29994.0
ES,2022,32814.0
EU27_2007,2010,31334.09
EU27_2007,2014,34327.53
EU27_2020,2006,26731.0
EU27_2020,2010,29759.0
EU27_2020,2014,32642.88
EU27_2020,2022,39034.0
EU28,2006,29506.0
EU28,2010,31176.0
EU28,2014,34210.0
FI,2006,34345.0
FI,2010,39635.0
FI,2014,44543.0
FI,2018,46071.0
FI,2022,51036.0
FR,2006,32493.0
FR,2010,34927.0
FR,2014,37253.0
FR,2018,38747.0
FR,2022,40603.0
HR,2010,12402.0
HR,2014,13007.0
HR,2018,14716.0
HR,2022,16804.0
HU,2002,5873.0
HU,2006,8115.0
HU,2010,9879.0
HU,2014,10209.0
HU,2018,13539.0
HU,2022,16825.0
IE,2002,35450.0
IE,2006,42876.0
IE,2010,44146.0
IE,2014,48598.0
IE,2018,49790.0
IE,2022,57116.0
IS,2010,32551.0
IS,2014,44188.0
IS,2018,68633.0
IS,2022,74436.0
IT,2006,30560.0
IT,2010,32751.0
IT,2014,36242.0
IT,2018,36671.0
IT,2022,38665.0
LT,2002,4099.0
LT,2006,5716.0
LT,2010,7226.0
LT,2014,8756.0
LT,2018,11943.0
LT,2022,22673.0
LU,2006,47016.0
LU,2010,51643.0
LU,2014,58797.0
LU,2018,64641.0
LU,2022,73637.0
LV,2006,5839.0
LV,2010,8526.0
LV,2014,10195.0
LV,2018,14057.0
LV,2022,18202.0
ME,2014,8778.0
MK,2010,5824.0
MK,2014,6599.0
MK,2018,7363.0
MT,2006,17654.0
MT,2010,19600.0
MT,2014,22641.0
MT,2018,27047.0
MT,2022,31571.0
NL,2002,37003.0
NL,2006,38998.0
NL,2010,44965.0
NL,2014,48839.67
NL,2018,51826.0
NL,2022,59527.0
NO,2006,50440.0
NO,2010,58075.0
NO,2014,63157.0
NO,2018,48609.0
NO,2022,69144.0
PL,2002,6878.0
PL,2006,8574.0
PL,2010,10507.0
PL,2014,11665.0
PL,2018,13847.0
PL,2022,17484.0
PT,2006,16597.0
PT,2010,18507.0
PT,2014,17497.0
PT,2018,18236.0
PT,2022,23152.0
RO,2002,2344.0
RO,2006,4223.0
RO,2010,6031.0
RO,2014,6746.0
RO,2018,11906.0
RO,2022,16575.0
RS,2014,7008.0
RS,2018,8100.0
RS,2022,11638.0
SE,2002,31388.0
SE,2006,34197.0
SE,2010,38981.0
SE,2014,44845.0
SE,2018,43425.0
SE,2022,46756.0
SI,2002,12560.0
SI,2006,15809.0
SI,2010,21162.0
SI,2014,22508.0
SI,2018,24669.0
SI,2022,30082.0
SK,2002,5506.0
SK,2006,6771.0
SK,2010,10321.0
SK,2014,12265.0
SK,2018,15159.0
SK,2022,19527.0
TR,2006,8405.0
TR,2010,10386.0
TR,2014,10341.0
TR,2018,9129.0
UK,2002,41102.0
UK,2006,44377.0
UK,2010,38470.0
UK,2014,42037.0
UK,2018,42744.0
